Country,2015exports,2015imports,dist,GDP,inEU,inCommonwealth,log(GDP/distance),log( (GDP_i * GDP_j)/distance),log(exports)
Czech Republic,1821,4758,758.5395364749071,295618.0,False,False,2.5918656010079437,9.095694934129366,3.2605483726369795
Germany,30333,60338,297.070529435514,4031149.0,False,False,4.132601284308511,10.637511562308436,4.481929682430212
Djibouti,5,0,5658.48755638418,3725.0,False,False,0.21966391724268822,6.323368193533676,0.7781512503836436
Denmark,2171,3327,519.783463775057,386724.0,False,False,2.872161995753575,9.376520947857616,3.336859820916809
Dominica,1,0,6263.556557828579,599.0,False,True,0.03966493340370148,5.485548100692089,0.3010299956639812
Dominican Republic,115,120,6422.043315207429,112417.0,False,False,1.2672859165067674,7.748101042532108,2.0644579892269186
Algeria,270,1774,1566.84546755471,187155.0,False,False,2.0807960091174005,8.58211755010774,2.432969290874406
Ecuador,127,95,8560.5909155464,115469.0,False,False,1.161021567335174,7.634903942368379,2.1072099696478683
Estonia,118,148,1288.6489374861999,39054.0,False,False,1.495629791002314,7.986473183531935,2.0755469613925306
Egypt,957,596,2914.24488113695,469094.0,False,False,2.2094235425038153,8.711676117397811,2.9813655090785445
Eritrea,0,0,4922.83479438949,2369.0,False,False,0.1706215590999789,6.187292080825711,0.0
Spain,8679,14778,710.422647972124,1389927.0,False,False,3.291697114142387,9.796417474883327,3.938519725176492
Ethiopia,148,129,5162.4738482313505,111181.0,False,False,1.352884162416882,7.838114992882189,2.173186268412274
Finland,1186,2019,1113.0055831546902,281411.0,False,False,2.404558012099435,8.907786008181079,3.074450718954591
Fiji,2,26,14634.2328774816,4859.0,False,True,0.12451390938800715,6.026119218909781,0.47712125471966244
Micronesia,0,0,11412.2483672102,428.0,False,False,0.015989597737569524,5.079014835895571,0.0
France,17724,24231,36.9940894415094,2778090.0,False,False,4.875619752149618,11.380556250574047,4.2485862438551045
Gabon,8,41,5472.53504528837,22221.0,False,True,0.7041898450291411,7.113517329580371,0.9542425094393249
Grenada,0,0,6572.01352127205,1192.0,False,True,0.0723878347722231,5.763520088736347,0.0
